N	COUNTRY	TITLE	URL	VIEWS	SUBSCRIBERS	VIDEOS	REGDATE
104	США	Kirya Kolesnikov	https://www.youtube.com/user/akaKilla20	4132375901	6380000	1548	1 декабря 2011 г.
105	Украина	Вильям Бруно	https://www.youtube.com/user/TheCartoonStory	1221514722	6310000	312	15 апреля 2013 г.
106	Россия	Вечерний Ургант	https://www.youtube.com/user/Urgantshow	3464868556	6280000	9514	17 января 2012 г.
107	Испания	MelliArt	https://www.youtube.com/channel/UCd6xjtAsyhN6HfSw6lUSVMA	1134354220	6190000	157	8 мая 2012 г.
108	США	Детские песни с Майей и Машей [RU]	https://www.youtube.com/channel/UCHCNmGxfaJ7hTuephkdTFvQ	2423615901	6080000	432	17 октября 2017 г.
109		DakPlay	https://www.youtube.com/user/mrDAKchannel1	3504452610	6030000	1116	25 июля 2013 г.
110	Россия	Егор Крид	https://www.youtube.com/user/EgorKReeD	1269921690	6020000	196	24 января 2011 г.
111	Россия	This is Хорошо	https://www.youtube.com/user/ThisIsHorosho	1683159218	5940000	1145	14 октября 2010 г.
112	Россия	DaiFiveTop	https://www.youtube.com/user/DaiFiveTop	2167061960	5860000	2179	6 февраля 2013 г.
113	Украина	Holdik	https://www.youtube.com/channel/UCM6hH7Xa0oanOQeh5RxeRAQ	1132998051	5860000	3282	22 декабря 2014 г.
114	США	GEORGY KAVKAZ	https://www.youtube.com/channel/UCHK357UDDmL6EMTb4YPE7ew	1114842324	5820000	154	18 августа 2016 г.
115	Россия	Три Кота	https://www.youtube.com/channel/UCBZNnwQOBirwpeWncqTj_KQ	5046791537	5810000	768	3 декабря 2015 г.
116	Россия	Ярик Кeнт	https://www.youtube.com/channel/UC5hNc6nMPLmcgygWgdHifgw	2404172410	5800000	1716	5 марта 2016 г.
117		Anastasiz	https://www.youtube.com/user/MsAnastasiz	654654999	5750000	288	18 декабря 2013 г.
118	США	SuperSofi	https://www.youtube.com/channel/UC0UecwriAVVm0gyyEFpakDQ	1411429112	5740000	148	31 марта 2016 г.
119	Россия	Master David	https://www.youtube.com/channel/UCdAaI10sNoTH1RDyMPXL5IA	1561005528	5720000	59	5 марта 2016 г.
120	Россия	ДНЕВНИК ХАЧА	https://www.youtube.com/channel/UCnbxcA3kZ_uUYIBHNvxpDQw	1007277595	5660000	268	14 июня 2015 г.
121	Россия	Официальный канал КВН	https://www.youtube.com/user/kvn	3736128992	5590000	2706	26 ноября 2005 г.
122	Украина	Антон Птушкин	https://www.youtube.com/user/ptuxermann	551073955	5590000	95	1 апреля 2008 г.
123	Россия	Котёнок Котэ - Песенки и мультики для детей	https://www.youtube.com/user/thekotetv	3418636355	5580000	136	1 июня 2012 г.
124	Россия	ТОПЛЕС	https://www.youtube.com/user/toplesofficial	615990473	5580000	181	19 июня 2013 г.
125	Россия	OneTwo	https://www.youtube.com/channel/UCLaqlgkDM3dkDh4WSbULMEA	2090698400	5550000	407	28 апреля 2016 г.
126	США	Rauf &amp; Faik	https://www.youtube.com/channel/UCj_ULO_jDdvbzOCsojquneQ	1365260426	5550000	162	5 октября 2015 г.
127	Россия	Katya Adushkina	https://www.youtube.com/channel/UCA0Xum6Bxx-rhmrog1A1ISQ	816416801	5510000	481	16 марта 2013 г.
128	Германия	TikTokTunes	https://www.youtube.com/channel/UC9EgazNjxm-_3eydGQR45rQ	3161738122	5500000	688	15 августа 2019 г.
129		UzbekFilmsHD	https://www.youtube.com/user/uzbekfilmshd	2299878856	5490000	4488	28 июня 2013 г.
130		Star Media	https://www.youtube.com/user/starmedia	3067512235	5480000	10061	30 мая 2006 г.
131	США	Kedoo Toons TV - Funny Animations for Kids	https://www.youtube.com/user/multfilm	2605867242	5480000	893	28 февраля 2007 г.
132	Россия	Виндяй	https://www.youtube.com/channel/UCdd2rozVKNHZg9oTeY_X7WQ	1652164388	5470000	1326	13 октября 2016 г.
